car_id,engine,displacement,net_torque,horsepower
1,l4,2.0,280.0,272.0
2,l4,2.0,280.0,272.0
3,l4,2.0,280.0,272.0
4,l4,2.0,280.0,272.0
5,l4,2.0,280.0,272.0
6,l4,2.0,280.0,272.0
7,l4,2.0,280.0,272.0
8,V6,3.5,252.0,279.0
9,V6,3.5,252.0,279.0
10,V6,3.5,252.0,279.0
11,V6,3.5,252.0,279.0
12,V6,3.5,252.0,279.0
13,V6,3.5,252.0,279.0
14,V6,3.5,252.0,279.0
15,V6,3.5,252.0,279.0
16,V6,3.5,252.0,279.0
17,V6,3.5,252.0,279.0
18,V6,3.5,252.0,279.0
19,V6,3.5,252.0,279.0
20,V6,3.5,252.0,279.0
21,V6,3.5,252.0,279.0
22,V6,3.5,252.0,279.0
23,V6,3.5,252.0,279.0
24,V6,3.5,252.0,279.0
25,V6,3.5,252.0,279.0
26,V6,3.5,252.0,279.0
27,V6,3.5,252.0,279.0
28,V6,3.5,251.0,273.0
29,V6,3.5,251.0,273.0
30,V6,3.5,251.0,273.0
31,V6,3.5,251.0,273.0
32,V6,3.5,251.0,273.0
33,V6,3.5,251.0,273.0
34,V6,3.5,251.0,273.0
35,V6,3.5,251.0,273.0
36,V6,3.5,251.0,273.0
37,V6,3.5,251.0,273.0
38,V6,3.5,251.0,273.0
39,V6,3.5,251.0,273.0
40,l4,2.3,260.0,240.0
41,l4,2.3,260.0,240.0
42,l4,2.3,260.0,240.0
43,l4,2.3,260.0,240.0
44,l4,2.3,260.0,240.0
45,l4,2.3,260.0,240.0
46,l4,2.3,260.0,240.0
47,l4,2.3,260.0,240.0
48,l4,2.3,260.0,240.0
49,l4,2.3,260.0,240.0
50,l4,2.3,260.0,240.0
51,l4,2.3,260.0,240.0
52,l4,2.3,260.0,240.0
53,l4,2.3,260.0,240.0
54,l4,2.3,260.0,240.0
55,l4,2.3,260.0,240.0
56,l4,2.3,260.0,240.0
57,l4,2.3,260.0,240.0
58,V6,3.5,267.0,290.0
59,V6,3.5,267.0,290.0
60,V6,3.5,267.0,290.0
61,V6,3.5,267.0,290.0
62,V6,3.5,267.0,290.0
63,V6,3.5,267.0,290.0
64,V6,3.0,289.0,321.0
65,V6,3.0,289.0,321.0
66,V6,3.5,267.0,290.0
67,V6,3.5,267.0,290.0
68,V6,3.5,267.0,290.0
69,V6,3.5,267.0,290.0
70,V6,3.5,267.0,290.0
71,V6,3.5,267.0,290.0
72,V6,3.5,267.0,290.0
73,V6,3.5,267.0,290.0
74,V6,3.5,267.0,290.0
75,V6,3.5,267.0,290.0
76,V6,3.0,289.0,321.0
77,V6,3.0,289.0,321.0
78,V6,3.5,267.0,290.0
79,V6,3.5,267.0,290.0
80,V6,3.5,267.0,290.0
81,V6,3.5,267.0,290.0
82,V6,3.5,267.0,290.0
83,V6,3.5,267.0,290.0
84,V6,3.5,267.0,290.0
85,V6,3.5,267.0,290.0
86,V6,3.5,267.0,290.0
87,V6,3.5,267.0,290.0
88,V6,3.5,267.0,290.0
89,V6,3.5,267.0,290.0
90,V6,3.5,267.0,290.0
91,V6,3.5,267.0,290.0
92,V6,3.5,267.0,290.0
93,V6,3.5,267.0,290.0
94,V6,3.5,267.0,290.0
95,V6,3.5,267.0,290.0
96,V6,3.5,267.0,290.0
97,V6,3.5,267.0,290.0
98,V6,3.5,267.0,290.0
99,V6,3.5,267.0,290.0
100,V6,3.5,267.0,290.0
101,V6,3.5,267.0,290.0
102,V6,3.5,267.0,290.0
103,V6,3.5,267.0,290.0
104,V6,3.5,267.0,290.0
105,V6,3.5,267.0,290.0
106,V6,3.5,267.0,290.0
107,V6,3.5,267.0,290.0
108,V6,3.5,267.0,290.0
109,V6,3.5,267.0,290.0
110,V6,3.5,267.0,290.0
111,V6,3.5,267.0,290.0
112,V6,3.5,267.0,290.0
113,V6,3.5,267.0,290.0
114,V6,3.5,267.0,290.0
115,V6,3.7,270.0,300.0
116,V6,3.7,270.0,300.0
117,V6,3.7,270.0,300.0
118,V6,3.7,270.0,300.0
119,V6,3.7,270.0,300.0
120,V6,3.7,270.0,300.0
121,V6,3.7,270.0,300.0
122,V6,3.7,270.0,300.0
123,V6,3.7,270.0,300.0
124,V6,3.7,270.0,300.0
125,V6,3.7,270.0,300.0
126,V6,3.7,270.0,300.0
127,V6,3.7,270.0,300.0
128,V6,3.7,270.0,300.0
129,V6,3.7,270.0,300.0
130,V6,3.7,270.0,300.0
131,V6,3.7,270.0,300.0
132,V6,3.7,270.0,300.0
133,V6,3.7,270.0,300.0
134,V6,3.7,270.0,300.0
135,V6,3.7,275.0,300.0
136,V6,3.7,275.0,300.0
137,V6,3.7,275.0,300.0
138,V6,3.7,275.0,300.0
139,V6,3.7,275.0,300.0
140,V6,3.7,275.0,300.0
141,V6,3.7,275.0,300.0
142,V6,3.7,275.0,300.0
143,V6,3.7,275.0,300.0
144,V6,3.7,275.0,300.0
145,V6,3.7,275.0,300.0
146,V6,3.7,275.0,300.0
147,V6,3.7,275.0,300.0
148,V6,3.7,275.0,300.0
149,V6,3.7,275.0,300.0
150,V6,3.7,275.0,300.0
151,V6,3.7,275.0,300.0
152,V6,3.5,250.0,253.0
153,V6,3.5,250.0,253.0
154,V6,3.5,250.0,253.0
155,V6,3.5,250.0,253.0
156,V6,3.5,250.0,253.0
157,V6,3.5,253.0,265.0
158,V6,3.5,253.0,265.0
159,V6,3.5,253.0,265.0
160,V6,3.5,253.0,265.0
161,V6,3.5,253.0,265.0
162,V6,3.5,253.0,265.0
163,V6,3.5,253.0,265.0
164,V6,3.5,253.0,265.0
165,V6,3.5,253.0,265.0
166,V6,3.5,253.0,265.0
167,V6,3.5,250.0,260.0
168,V6,3.5,250.0,260.0
169,V6,3.5,250.0,260.0
170,V6,3.5,250.0,260.0
171,V6,3.5,250.0,260.0
172,V6,3.5,245.0,240.0
173,V6,3.5,245.0,240.0
174,V6,3.5,245.0,240.0
175,V6,3.5,245.0,240.0
176,V6,3.5,245.0,240.0
177,V6,3.5,245.0,240.0
178,V6,3.5,245.0,240.0
179,V6,3.5,245.0,240.0
180,l4,2.4,182.0,206.0
181,V6,3.5,267.0,290.0
182,V6,3.5,267.0,290.0
183,V6,3.5,267.0,290.0
184,V6,3.5,267.0,290.0
185,V6,3.5,267.0,290.0
186,V6,3.5,267.0,290.0
187,V6,3.5,267.0,290.0
188,V6,3.5,267.0,290.0
189,V6,3.5,267.0,290.0
190,V6,3.5,267.0,290.0
191,l4,2.4,182.0,206.0
192,l4,2.4,182.0,206.0
193,l4,2.4,182.0,206.0
194,l4,2.4,182.0,206.0
195,V6,3.5,267.0,290.0
196,V6,3.5,267.0,290.0
197,V6,3.5,267.0,290.0
198,V6,3.5,267.0,290.0
199,V6,3.5,267.0,290.0
200,V6,3.5,267.0,290.0
201,V6,3.5,267.0,290.0
202,V6,3.5,267.0,290.0
203,V6,3.5,267.0,290.0
204,V6,3.5,267.0,290.0
205,l4,2.4,182.0,206.0
206,l4,2.4,182.0,206.0
207,V6,3.5,267.0,290.0
208,V6,3.5,267.0,290.0
209,V6,3.5,267.0,290.0
210,V6,3.5,267.0,290.0
211,V6,3.5,267.0,290.0
212,l4,2.4,182.0,206.0
213,l4,2.4,182.0,206.0
214,V6,3.5,267.0,290.0
215,V6,3.5,267.0,290.0
216,V6,3.5,267.0,290.0
217,V6,3.5,267.0,290.0
218,V6,3.5,267.0,290.0
219,l4,2.4,182.0,206.0
220,l4,2.4,180.0,201.0
221,l4,2.4,180.0,201.0
222,l4,2.4,180.0,201.0
223,l4,2.4,180.0,201.0
224,l4,2.4,180.0,201.0
225,l4,2.4,180.0,201.0
226,l4,2.4,180.0,201.0
227,l4,2.4,180.0,201.0
228,l4,2.4,180.0,201.0
229,l4,2.4,180.0,201.0
230,l4,2.4,180.0,201.0
231,l4,2.4,180.0,201.0
232,l4,2.4,180.0,201.0
233,l4,2.4,180.0,201.0
234,l4,2.4,180.0,201.0
235,l4,2.4,180.0,201.0
236,l4,2.4,180.0,201.0
237,l4,2.4,180.0,201.0
238,l4,2.0,140.0,150.0
239,l4,2.4,170.0,201.0
240,l4,2.0,140.0,150.0
241,l4,2.0,140.0,150.0
242,l4,1.5,127.0,111.0
243,l4,2.4,170.0,201.0
244,l4,2.0,140.0,150.0
245,l4,2.0,140.0,150.0
246,l4,2.0,140.0,150.0
247,l4,1.5,127.0,111.0
248,l4,1.5,127.0,111.0
249,l4,2.4,170.0,201.0
250,l4,2.0,140.0,150.0
251,l4,2.0,140.0,150.0
252,l4,2.0,140.0,150.0
253,l4,1.5,127.0,111.0
254,V6,3.5,476.0,573.0
255,V6,3.5,476.0,573.0
256,V6,3.0,210.0,252.0
257,V6,3.2,224.0,290.0
258,V6,3.0,210.0,252.0
259,V6,3.2,224.0,290.0
260,V6,3.0,210.0,252.0
261,V6,3.2,224.0,290.0
262,V6,3.0,210.0,252.0
263,V6,3.2,224.0,290.0
264,V6,3.0,210.0,252.0
265,V6,3.2,224.0,290.0
266,V6,3.0,210.0,252.0
267,V6,3.2,224.0,290.0
268,V6,3.0,210.0,252.0
269,V6,3.2,224.0,290.0
270,V6,3.0,210.0,252.0
271,V6,3.2,224.0,290.0
272,V6,3.0,210.0,252.0
273,V6,3.2,224.0,290.0
274,V6,3.0,210.0,252.0
275,V6,3.2,224.0,290.0
276,V6,3.0,210.0,252.0
277,V6,3.2,224.0,290.0
278,V6,3.0,210.0,252.0
279,V6,3.2,224.0,290.0
280,V6,3.0,210.0,252.0
281,V6,3.2,224.0,290.0
282,V6,3.0,210.0,252.0
283,V6,3.2,224.0,290.0
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,V6,3.5,341.0,377.0
299,V6,3.5,272.0,310.0
300,V6,3.5,341.0,377.0
301,V6,3.5,272.0,310.0
302,V6,3.5,272.0,310.0
303,V6,3.5,272.0,310.0
304,V6,3.5,272.0,310.0
305,V6,3.5,341.0,377.0
306,V6,3.5,341.0,377.0
307,V6,3.5,272.0,310.0
308,V6,3.5,272.0,310.0
309,V6,3.5,272.0,310.0
310,V6,3.5,272.0,310.0
311,V6,3.5,272.0,310.0
312,V6,3.5,272.0,310.0
313,V6,3.5,272.0,310.0
314,V6,3.5,272.0,310.0
315,V6,3.5,272.0,310.0
316,V6,3.5,377.0,377.0
317,V6,3.5,377.0,377.0
318,V6,3.5,272.0,310.0
319,l4,1.7,258.0,237.0
320,l4,1.7,258.0,237.0
321,l4,1.7,258.0,237.0
322,l4,1.7,258.0,237.0
323,l4,1.7,258.0,237.0
324,l4,1.7,258.0,237.0
325,l4,2.0,306.0,280.0
326,l4,2.0,306.0,280.0
327,l4,2.0,306.0,280.0
328,l4,2.0,306.0,280.0
329,l4,2.0,306.0,280.0
330,l4,2.0,306.0,280.0
331,V6,2.9,443.0,505.0
332,l4,2.0,306.0,280.0
333,l4,2.0,306.0,280.0
334,l4,2.0,306.0,280.0
335,l4,2.0,306.0,280.0
336,l4,2.0,306.0,280.0
337,l4,2.0,306.0,280.0
338,l4,2.0,306.0,280.0
339,l4,2.0,306.0,280.0
340,l4,2.0,306.0,280.0
341,l4,2.0,306.0,280.0
342,l4,2.0,306.0,280.0
343,l4,2.0,306.0,280.0
344,l4,2.0,306.0,280.0
345,l4,2.0,306.0,280.0
346,l4,2.0,306.0,280.0
347,l4,2.0,306.0,280.0
348,V6,2.9,443.0,505.0
349,l4,2.0,306.0,280.0
