team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;league
Chicago Blackhawks;1990;49;23;0;0.613;284;211;73;A
St. Louis Blues;1990;47;22;0;0.588;310;250;60;A
Los Angeles Kings;1990;46;24;0;0.575;340;254;86;B
Calgary Flames;1990;46;26;0;0.575;344;263;81;B
Boston Bruins;1990;44;24;0;0.55;299;264;35;B
Montréal Canadiens;1990;39;30;0;0.487;273;249;24;B
Pittsburgh Penguins;1990;41;33;0;0.512;342;305;37;B
New York Rangers;1990;36;31;0;0.45;297;265;32;C
Washington Capitals;1990;37;36;0;0.463;258;258;0;C
Buffalo Sabres;1990;31;30;0;0.388;292;278;14;C
Edmonton Oilers;1990;37;37;0;0.463;272;272;0;C
New Jersey Devils;1990;32;33;0;0.4;272;264;8;C
Detroit Red Wings;1990;34;38;0;0.425;273;298;-25;C
Philadelphia Flyers;1990;33;37;0;0.412;252;267;-15;C
Hartford Whalers;1990;31;38;0;0.388;238;276;-38;C
Minnesota North Stars;1990;27;39;0;0.338;256;266;-10;D
Vancouver Canucks;1990;28;43;0;0.35;243;315;-72;D
Winnipeg Jets (1979);1990;26;43;0;0.325;260;288;-28;D
New York Islanders;1990;25;45;0;0.312;223;290;-67;D
Toronto Maple Leafs;1990;23;46;0;0.287;241;318;-77;D
Quebec Nordiques;1990;16;50;0;0.2;236;354;-118;D
New York Rangers;1991;50;25;0;0.625;321;246;75;A
Washington Capitals;1991;45;27;0;0.562;330;275;55;B
Detroit Red Wings;1991;43;25;0;0.537;320;256;64;B
Vancouver Canucks;1991;42;26;0;0.525;285;250;35;B
Montréal Canadiens;1991;41;28;0;0.512;267;207;60;B
Pittsburgh Penguins;1991;39;32;0;0.487;343;308;35;B
New Jersey Devils;1991;38;31;0;0.475;289;259;30;C
Chicago Blackhawks;1991;36;29;0;0.45;257;236;21;C
Boston Bruins;1991;36;32;0;0.45;270;275;-5;C
Los Angeles Kings;1991;35;31;0;0.438;287;296;-9;C
St. Louis Blues;1991;36;33;0;0.45;279;266;13;C
Edmonton Oilers;1991;36;34;0;0.45;295;297;-2;C
Winnipeg Jets (1979);1991;33;32;0;0.412;251;244;7;C
New York Islanders;1991;34;35;0;0.425;291;299;-8;C
Philadelphia Flyers;1991;32;37;0;0.4;252;273;-21;C
Calgary Flames;1991;31;37;0;0.388;296;305;-9;C
Buffalo Sabres;1991;31;37;0;0.388;289;299;-10;C
Minnesota North Stars;1991;32;42;0;0.4;246;278;-32;C
Toronto Maple Leafs;1991;30;43;0;0.375;234;294;-60;D
Hartford Whalers;1991;26;41;0;0.325;247;283;-36;D
Quebec Nordiques;1991;20;48;0;0.25;255;318;-63;D
San Jose Sharks;1991;17;58;0;0.212;219;359;-140;D
Pittsburgh Penguins;1992;56;21;0;0.667;367;268;99;A
Boston Bruins;1992;51;26;0;0.607;332;268;64;A
Chicago Blackhawks;1992;47;25;0;0.56;279;230;49;B
Quebec Nordiques;1992;47;27;0;0.56;351;300;51;B
Detroit Red Wings;1992;47;28;0;0.56;369;280;89;B
Montréal Canadiens;1992;48;30;0;0.571;326;280;46;B
Vancouver Canucks;1992;46;29;0;0.548;346;278;68;B
Toronto Maple Leafs;1992;44;29;0;0.524;288;241;47;B
Calgary Flames;1992;43;30;0;0.512;322;282;40;B
Washington Capitals;1992;43;34;0;0.512;325;286;39;B
Los Angeles Kings;1992;39;35;0;0.464;338;340;-2;C
Winnipeg Jets (1979);1992;40;37;0;0.476;322;320;2;C
New York Islanders;1992;40;37;0;0.476;335;297;38;C
New Jersey Devils;1992;40;37;0;0.476;308;299;9;C
Buffalo Sabres;1992;38;36;0;0.452;335;297;38;C
St. Louis Blues;1992;37;36;0;0.44;282;278;4;C
Philadelphia Flyers;1992;36;37;0;0.429;319;319;0;C
Minnesota North Stars;1992;36;38;0;0.429;272;293;-21;C
New York Rangers;1992;34;39;0;0.405;304;308;-4;C
Edmonton Oilers;1992;26;50;0;0.31;242;337;-95;D
Hartford Whalers;1992;26;52;0;0.31;284;369;-85;D
Tampa Bay Lightning;1992;23;54;0;0.274;245;332;-87;D
San Jose Sharks;1992;11;71;0;0.131;218;414;-196;D
Ottawa Senators;1992;10;70;0;0.119;202;395;-193;D
New York Rangers;1993;52;24;0;0.619;299;231;68;A
New Jersey Devils;1993;47;25;0;0.56;306;220;86;B
Pittsburgh Penguins;1993;44;27;0;0.524;299;285;14;B
Detroit Red Wings;1993;46;30;0;0.548;356;275;81;B
Toronto Maple Leafs;1993;43;29;0;0.512;280;243;37;B
Boston Bruins;1993;42;29;0;0.5;289;252;37;B
Dallas Stars;1993;42;29;0;0.5;286;265;21;B
Calgary Flames;1993;42;29;0;0.5;302;256;46;B
Montréal Canadiens;1993;41;29;0;0.488;283;248;35;B
Buffalo Sabres;1993;43;32;0;0.512;282;218;64;B
St. Louis Blues;1993;40;33;0;0.476;270;283;-13;C
Washington Capitals;1993;39;35;0;0.464;277;263;14;C
Chicago Blackhawks;1993;39;36;0;0.464;254;240;14;C
Vancouver Canucks;1993;41;40;0;0.488;279;276;3;B
New York Islanders;1993;36;36;0;0.429;282;264;18;C
Florida Panthers;1993;33;34;0;0.393;233;233;0;C
San Jose Sharks;1993;33;35;0;0.393;252;265;-13;C
Philadelphia Flyers;1993;35;39;0;0.417;294;314;-20;C
Quebec Nordiques;1993;34;42;0;0.405;277;292;-15;C
Anaheim Ducks;1993;33;46;0;0.393;229;251;-22;C
Tampa Bay Lightning;1993;30;43;0;0.357;224;251;-27;D
Los Angeles Kings;1993;27;45;0;0.321;294;322;-28;D
Edmonton Oilers;1993;25;45;0;0.298;261;305;-44;D
Hartford Whalers;1993;27;48;0;0.321;227;288;-61;D
Winnipeg Jets (1979);1993;24;51;0;0.286;245;344;-99;D
Ottawa Senators;1993;14;61;0;0.167;201;397;-196;D
Detroit Red Wings;1994;33;11;0;0.688;180;117;63;A
Quebec Nordiques;1994;30;13;0;0.625;185;134;51;A
Pittsburgh Penguins;1994;29;16;0;0.604;181;158;23;A
St. Louis Blues;1994;28;15;0;0.583;178;135;43;A
Philadelphia Flyers;1994;28;16;0;0.583;150;132;18;A
Boston Bruins;1994;27;18;0;0.562;150;127;23;B
Calgary Flames;1994;24;17;0;0.5;163;135;28;B
Chicago Blackhawks;1994;24;19;0;0.5;156;115;41;B
New Jersey Devils;1994;22;18;0;0.458;136;121;15;C
Washington Capitals;1994;22;18;0;0.458;136;120;16;C
Buffalo Sabres;1994;22;19;0;0.458;130;119;11;C
Toronto Maple Leafs;1994;21;19;0;0.438;135;146;-11;C
Vancouver Canucks;1994;18;18;0;0.375;153;148;5;D
New York Rangers;1994;22;23;0;0.458;139;134;5;C
Florida Panthers;1994;20;22;0;0.417;115;127;-12;C
Hartford Whalers;1994;19;24;0;0.396;127;141;-14;C
Montréal Canadiens;1994;18;23;0;0.375;125;148;-23;D
San Jose Sharks;1994;19;25;0;0.396;129;161;-32;C
Dallas Stars;1994;17;23;0;0.354;136;135;1;D
Los Angeles Kings;1994;16;23;0;0.333;142;174;-32;D
Winnipeg Jets (1979);1994;16;25;0;0.333;157;177;-20;D
Edmonton Oilers;1994;17;27;0;0.354;136;183;-47;D
Tampa Bay Lightning;1994;17;28;0;0.354;120;144;-24;D
Anaheim Ducks;1994;16;27;0;0.333;125;164;-39;D
New York Islanders;1994;15;28;0;0.312;126;158;-32;D
Ottawa Senators;1994;9;34;0;0.188;117;174;-57;D
Detroit Red Wings;1995;62;13;0;0.756;325;181;144;A
Colorado Avalanche;1995;47;25;0;0.573;326;240;86;B
Philadelphia Flyers;1995;45;24;0;0.549;282;208;74;B
Pittsburgh Penguins;1995;49;29;0;0.598;362;284;78;A
New York Rangers;1995;41;27;0;0.5;272;237;35;B
Chicago Blackhawks;1995;40;28;0;0.488;273;220;53;B
Florida Panthers;1995;41;31;0;0.5;254;234;20;B
Boston Bruins;1995;40;31;0;0.488;282;269;13;B
Montréal Canadiens;1995;40;32;0;0.488;265;248;17;B
Washington Capitals;1995;39;32;0;0.476;234;204;30;C
Tampa Bay Lightning;1995;38;32;0;0.463;238;248;-10;C
New Jersey Devils;1995;37;33;0;0.451;215;202;13;C
Toronto Maple Leafs;1995;34;36;0;0.415;247;252;-5;C
St. Louis Blues;1995;32;34;0;0.39;219;248;-29;C
Calgary Flames;1995;34;37;0;0.415;241;240;1;C
Vancouver Canucks;1995;32;35;0;0.39;278;278;0;C
Winnipeg Jets (1979);1995;36;40;0;0.439;275;291;-16;C
Anaheim Ducks;1995;35;39;0;0.427;234;247;-13;C
Hartford Whalers;1995;34;39;0;0.415;237;259;-22;C
Buffalo Sabres;1995;33;42;0;0.402;247;262;-15;C
Edmonton Oilers;1995;30;44;0;0.366;240;304;-64;D
Dallas Stars;1995;26;42;0;0.317;227;280;-53;D
Los Angeles Kings;1995;24;40;0;0.293;256;302;-46;D
New York Islanders;1995;22;50;0;0.268;229;315;-86;D
San Jose Sharks;1995;20;55;0;0.244;252;357;-105;D
Ottawa Senators;1995;18;59;0;0.22;191;291;-100;D
Colorado Avalanche;1996;49;24;0;0.598;277;205;72;A
Dallas Stars;1996;48;26;0;0.585;252;198;54;A
New Jersey Devils;1996;45;23;0;0.549;231;182;49;B
Philadelphia Flyers;1996;45;24;0;0.549;274;217;57;B
